Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
1;33.4244;0.001056;19.3666;12.0137;
2;27.7007;0.000128;15.0351;11.6937;
3;27.3836;0.000128;15.0105;11.3682;
4;29.3959;0.000128;16.0652;12.2692;
5;27.2078;0.00016;15.2047;11.0514;
6;27.4484;0.000128;14.8409;11.5218;
7;28.7504;0.000128;16.1474;11.1411;
8;27.7169;0.000128;14.9228;10.6238;
9;27.0588;0.000128;14.4923;11.3738;
10;28.7216;0.000128;15.1073;12.6738;
11;30.0282;0.000128;16.9058;11.6109;
12;27.7029;9.6e-05;15.2228;11.4142;
13;27.9298;0.000128;15.4669;11.1433;
14;27.7509;0.000128;15.4269;11.3637;
15;27.9789;0.000128;15.2396;11.5586;
16;27.8761;9.6e-05;15.1849;11.383;
17;28.4588;9.6e-05;15.3143;11.626;
18;29.6678;9.6e-05;17.39;11.1836;
19;27.7714;0.000128;15.575;10.6221;
20;27.2529;0.000128;15.1175;10.913;
21;27.2226;0.000128;14.9793;11.4107;
22;27.7986;0.000128;15.1005;11.4199;
23;27.7703;9.6e-05;15.1483;11.4392;
24;31.9071;0.000128;17.6232;12.8914;
25;27.4949;0.000128;15.1615;11.3834;
26;27.6387;9.6e-05;14.955;11.6976;
27;27.5759;9.6e-05;15.1798;10.9324;
28;29.4164;0.000128;14.76;13.4862;
29;29.1168;9.6e-05;14.921;13.2894;
30;31.0411;9.6e-05;15.2994;14.1737;
31;32.041;0.000128;16.4418;14.9025;
32;29.7623;0.000128;14.8276;13.7517;
33;30.297;0.000128;15.0911;13.925;
34;29.4838;0.000128;14.919;14.095;
35;29.872;9.6e-05;15.1754;14.049;
36;30.0759;0.000128;15.0376;14.4597;
37;33.9073;9.6e-05;17.5151;14.6968;
38;30.5164;0.000128;15.2137;13.9845;
39;30.0422;9.6e-05;15.0558;14.0559;
40;29.7744;9.6e-05;15.0011;13.7868;
41;30.7041;0.000128;15.2644;13.9193;
42;31.214;0.000128;14.7738;14.8472;
43;30.8678;9.6e-05;16.3648;13.3732;
44;30.6524;0.000128;15.5574;14.0112;
45;30.7227;9.6e-05;15.2766;14.6264;
46;31.1666;9.6e-05;15.3335;14.9483;
47;30.7576;0.000128;14.7741;14.9183;
48;32.2607;9.6e-05;15.2326;15.6344;
49;33.1725;0.000128;17.3499;14.8701;
50;30.764;9.6e-05;14.9927;14.4811;
51;30.6173;0.000256;15.0092;14.7019;
52;30.9676;0.000128;14.5421;14.9566;
53;30.345;0.000128;14.8281;14.2512;
54;32.2861;9.6e-05;15.2974;15.6637;
55;32.6602;0.000128;16.3115;15.6141;
56;70.3795;0.000128;42.3421;26.6236;
57;30.2563;9.6e-05;15.2056;14.0958;
58;30.8647;0.000128;15.5489;14.0824;
59;32.1225;0.000128;15.3925;15.5778;
