Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
1;32.4061;0.001024;18.0164;11.985;
2;26.8532;0.000128;14.3855;11.0057;
3;25.7718;0.000128;14.3473;11.2024;
4;25.8739;0.00016;14.2573;11.4084;
5;26.3319;0.000128;14.4316;11.2265;
6;26.4398;0.00016;14.2134;11.3137;
7;29.4591;0.000128;16.0536;12.5311;
8;33.5076;0.000128;19.9008;11.3246;
9;25.9519;0.000128;14.4349;10.7904;
10;26.2683;9.6e-05;14.5343;10.4623;
11;25.8113;0.000128;13.9008;10.8741;
12;26.3195;0.000128;14.3486;10.6247;
13;25.812;9.6e-05;14.2892;10.4695;
14;26.985;9.6e-05;14.5761;11.4354;
15;26.7544;0.000128;15.0513;10.6223;
16;26.2824;9.6e-05;14.7216;10.3574;
17;25.5695;0.000128;14.1384;10.5484;
18;25.9974;9.6e-05;14.5052;10.6314;
19;26.8467;0.000128;14.816;11.0398;
20;25.5062;9.6e-05;14.1036;10.5203;
21;26.9781;9.6e-05;14.5771;11.3365;
22;26.7783;0.000128;14.682;10.7784;
23;25.9325;0.000128;14.27;10.9529;
24;25.9955;0.000128;14.3245;10.349;
25;23.4314;0.000128;11.416;11.0128;
26;26.0558;9.6e-05;14.382;10.6914;
27;26.5172;9.6e-05;14.5063;10.3373;
28;27.1954;0.000128;15.3512;10.7947;
29;26.4721;9.6e-05;14.6609;10.4643;
30;25.722;0.000128;14.4046;10.4586;
31;25.9093;0.000128;14.3179;11.0316;
32;25.9676;0.000128;14.4725;10.5179;
33;25.9614;0.000128;14.2819;10.3347;
34;26.0632;9.6e-05;14.2936;10.8212;
35;29.9408;0.000128;15.6592;12.5335;
36;26.6693;9.6e-05;14.4083;11.4279;
37;26.4706;0.000128;14.3322;11.4602;
38;27.4541;9.6e-05;14.3263;11.5705;
39;27.3303;9.6e-05;14.4432;11.6187;
40;27.5398;0.000128;14.2795;12.1272;
41;28.0659;0.000128;14.5955;12.4885;
42;30.8675;0.000128;15.3872;14.4522;
43;28.4011;0.000128;14.2287;12.7738;
44;28.3634;0.000128;14.8442;12.3558;
45;27.9256;0.000128;14.4579;12.5477;
46;27.7566;9.6e-05;14.2086;12.6633;
47;28.0145;0.000128;14.2075;12.9614;
48;29.8657;0.000128;14.3244;14.2269;
49;29.1572;0.000128;14.8481;13.431;
50;28.9036;0.000128;14.4597;13.3901;
51;28.9523;0.000128;14.8571;13.1876;
52;28.2937;0.000128;14.3209;13.0732;
53;30.181;0.000128;15.5381;13.75;
54;28.2909;0.000128;14.5365;12.888;
55;32.8022;0.000128;16.54;15.15;
56;39.958;9.6e-05;27.7023;12.0253;
57;28.6069;0.00016;13.8369;13.6289;
58;28.1875;9.6e-05;14.0334;13.2254;
59;28.846;9.6e-05;14.4804;13.3453;
60;28.8473;0.000128;14.1424;13.4036;
61;29.2852;0.000128;15.1199;13.2853;
62;29.686;0.000128;14.8519;13.6957;
63;29.3436;9.6e-05;14.7158;13.6336;
64;28.4351;0.000128;14.2914;13.2636;
65;29.024;0.000128;14.4889;13.3437;
66;28.9226;0.000128;14.2363;13.4743;
67;30.3308;9.6e-05;15.3029;14.1944;
68;28.5083;0.000128;14.5932;13.3285;
69;29.725;0.000128;15.0672;13.6705;
70;28.4465;9.6e-05;14.092;13.3633;
71;29.2433;0.000128;14.3562;13.7314;
72;28.873;0.000128;14.4034;12.8856;
73;28.7348;0.000128;14.0145;12.9711;
74;29.6984;9.6e-05;15.2591;13.4287;
75;28.3052;0.000128;14.0914;12.8683;
76;28.0941;0.000128;14.0108;12.8034;
77;29.1236;0.000128;14.2333;13.1031;
78;27.8392;0.000128;14.0666;12.9438;
79;28.4802;0.000128;14.2551;12.9034;
80;30.4542;0.000128;15.4084;14.1591;
81;28.2942;9.6e-05;14.3031;13.0471;
82;28.6595;0.000128;14.3324;12.9509;
83;28.8517;9.6e-05;14.2875;13.3231;
84;29.0486;0.000128;14.393;13.2567;
85;28.9679;9.6e-05;14.491;13.2818;
86;29.1867;9.6e-05;14.2623;13.6985;
87;41.8437;0.000128;27.7332;13.2858;
88;28.3677;0.000128;14.271;12.9847;
89;29.262;0.000128;15.0961;12.946;
90;28.4531;0.000128;14.2045;12.9174;
91;27.5728;0.000128;13.7072;12.9597;
92;29.2369;0.000128;14.0774;14.2006;
93;30.278;0.000128;14.9845;14.2644;
94;28.0488;0.000128;13.9121;13.187;
95;28.8183;0.000128;14.1769;13.3432;
96;28.7144;9.6e-05;14.644;13.1353;
97;28.1941;0.000128;14.1342;13.007;
98;28.3175;0.000128;13.9721;13.3062;
99;30.7899;9.6e-05;15.5383;14.1058;
100;28.6868;0.000128;14.1169;13.2944;
101;30.3951;0.000128;14.8646;13.9333;
102;28.2039;0.000128;14.1435;13.1186;
103;28.3372;9.6e-05;14.3645;13.5185;
104;29.9491;0.000128;14.6261;14.4172;
105;29.2936;0.000128;13.8561;14.4515;
106;31.3445;0.000128;15.7459;14.0742;
107;28.4666;9.6e-05;14.3357;13.4994;
108;28.3402;0.000128;14.0387;13.3186;
109;28.4176;9.6e-05;14.3;13.1936;
110;28.4792;0.000128;14.2451;13.0059;
111;28.3171;0.000128;14.0659;13.2681;
112;31.2153;0.000128;16.282;14.1928;
113;28.3713;9.6e-05;14.3604;12.9969;
114;28.3924;0.000128;14.5483;12.955;
115;28.461;0.000128;14.2867;12.9461;
116;28.5246;0.000128;13.7476;13.2184;
117;28.8691;0.000128;13.9681;13.2748;
118;35.4527;0.000128;20.9166;13.9283;
119;36.5648;9.6e-05;20.8655;14.7932;
120;29.2581;0.000128;14.2234;13.7024;
121;28.8164;9.6e-05;14.1859;13.3133;
122;28.6255;0.000128;14.0375;13.3722;
123;28.7952;9.6e-05;14.3265;13.269;
124;31.9567;0.000128;15.5582;15.0122;
125;30.3481;0.000128;14.953;14.0301;
126;28.3285;0.000128;14.1337;13.1158;
127;29.3517;0.000128;14.4639;13.4837;
128;29.0864;0.000256;14.2273;13.5156;
129;28.8466;0.000128;14.2358;13.4013;
130;28.8569;9.6e-05;14.2991;13.4686;
131;32.588;9.6e-05;16.2043;15.0759;
132;28.904;9.6e-05;14.5697;13.1496;
133;29.2008;9.6e-05;14.3091;13.5726;
134;28.3672;0.000128;13.9693;12.9573;
135;28.298;9.6e-05;14.4268;12.8595;
136;28.1924;0.000128;14.2292;13.0922;
137;31.8366;9.6e-05;16.1655;14.6902;
138;28.2525;9.6e-05;14.0241;13.1502;
139;28.2012;0.000128;14.1176;12.8661;
140;28.2584;0.000128;14.1181;12.6727;
141;28.5815;0.000128;13.8677;13.5661;
142;28.2076;9.6e-05;14.0772;12.8644;
143;28.5073;0.000128;13.8296;13.5198;
144;30.4453;9.6e-05;14.2155;14.9691;
145;28.3616;9.6e-05;14.2278;13.1824;
146;28.4012;0.000128;14.0889;13.0456;
147;29.1271;9.6e-05;14.4689;13.7172;
148;28.676;9.6e-05;14.4916;13.2976;
149;27.8341;9.6e-05;13.2385;13.2632;
150;29.8316;9.6e-05;14.974;13.564;
151;30.03;9.6e-05;15.4167;13.6602;
152;28.1601;9.6e-05;14.3524;12.91;
153;29.2311;0.000128;14.1589;13.4387;
154;28.8437;0.000128;14.5564;13.3403;
155;30.9823;0.000128;14.3072;15.4929;
156;30.3597;9.6e-05;14.3739;14.4376;
157;30.3309;0.000128;15.6873;13.4918;
158;29.2569;0.000128;15.1826;13.1646;
159;28.8573;0.000128;14.2163;13.232;
160;29.3121;9.6e-05;14.4764;13.0682;
161;31.3004;9.6e-05;17.3443;13.0452;
162;29.2544;0.000128;14.6557;13.416;
163;31.8605;0.000128;15.9302;14.5897;
164;28.5184;9.6e-05;14.6056;13.0225;
165;29.3148;9.6e-05;14.448;13.3436;
166;28.4377;0.000128;14.3914;13.1258;
167;30.8034;9.6e-05;15.3082;14.2235;
168;28.8552;9.6e-05;14.2742;13.5146;
169;30.0042;3.2e-05;14.5151;14.2427;
170;30.6741;0;15.4534;13.4602;
171;28.901;3.2e-05;14.3114;13.4121;
172;28.8969;0;14.826;13.0037;
173;28.1456;0;14.3267;12.9247;
174;28.6146;0;14.1779;13.0602;
175;29.3035;0;14.2786;13.3516;
176;30.547;0;15.6512;13.5672;
177;28.5853;0;14.5298;13.1741;
178;29.3569;3.2e-05;14.3472;13.5012;
179;32.9572;0;18.2447;13.739;
180;28.3279;0;14.4302;12.9932;
181;28.5206;0;14.2736;13.3658;
182;29.3321;3.2e-05;14.5692;13.8368;
183;29.3031;0;14.5898;13.3086;
184;28.6969;0;14.4854;13.3653;
185;29.4065;3.2e-05;14.3773;13.5554;
186;28.9679;0;14.5727;13.2846;
187;28.5874;3.2e-05;14.3622;13.4312;
188;29.2815;0;14.5246;14.0091;
189;29.931;0;15.5763;13.386;
190;28.7686;3.2e-05;14.8746;13.1104;
191;29.8265;3.2e-05;14.2367;14.4682;
