Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows
1;38.1129;0.000896;19.3387;15.9683
2;29.7817;0.000128;16.5764;11.5627
3;35.4871;0.000128;23.178;10.8749
4;27.6124;0.000128;15.094;11.724
5;28.3394;0.000128;15.8749;11.4101
6;27.8576;0.000128;16.0192;10.8037
7;29.3004;0.000128;17.2368;10.7812
8;29.5027;0.000128;16.214;10.9273
9;28.3144;0.00016;15.5729;11.2233
10;27.0799;0.000128;15.2819;10.8849
11;27.2933;0.000128;14.8731;11.4138
12;27.8284;0.000128;15.6262;11.0138
13;28.3503;9.60E-05;15.6337;11.6588
14;32.0439;0.000128;18.5166;12.0836
15;28.857;9.60E-05;16.2234;11.625
16;27.69;0.000128;15.3941;11.1727
17;27.8595;0.000128;15.817;10.8705
18;27.3726;0.000128;15.0692;11.2324
19;26.7572;0.000128;14.9563;10.6334
20;28.2007;0.000128;15.1505;11.9229
21;28.8131;0.000128;16.8935;11.0007
22;28.9192;9.60E-05;17.0992;10.7078
23;28.263;9.60E-05;15.7609;11.3318
24;34.092;9.60E-05;21.91;10.9383
25;27.8726;0.000128;15.3786;11.3822
26;26.8438;9.60E-05;14.9515;10.7825
27;33.3335;0.000128;17.4996;14.8634
28;27.2302;9.60E-05;15.4204;10.7797
29;27.874;0.000128;15.4104;11.395
30;28.1503;0.000128;16.2515;10.8712
31;27.1811;9.60E-05;14.9597;10.8944
32;27.8023;0.000128;15.414;11.254
33;30.3445;0.000128;15.7711;12.8698
34;27.502;9.60E-05;15.2016;10.9787
35;27.8636;0.000128;15.8177;11.0344
36;27.5914;9.60E-05;15.648;11.0813
37;28.8617;0.000128;15.6446;11.9436
38;26.875;0.000128;14.8895;11.0765
39;28.3798;0.000128;15.5392;11.7174
40;35.7458;0.000128;19.844;14.5204
41;28.5953;9.60E-05;16.1017;11.4402
42;28.2748;0.000128;15.3571;11.8333
43;26.7263;0.000128;15.0784;10.8061
44;27.1631;0.000128;14.8316;11.139
45;26.848;9.60E-05;15.0931;10.6414
46;26.4973;9.60E-05;14.9204;10.7187
47;31.7433;0.000128;18.5812;11.8199
48;29.0906;0.000128;16.3366;11.0055
49;35.4835;0.000128;14.985;19.4087
50;26.6166;0.000128;15.1362;10.6058
51;28.9024;0.000128;16.0483;11.4965
52;27.9125;0.000128;15.649;11.19
53;36.9022;9.60E-05;19.7132;16.1051
54;27.3981;9.60E-05;15.4951;11.0078
55;27.6817;0.000128;15.5946;11.218
56;28.6712;9.60E-05;15.3349;13.1504
57;29.4065;0.000128;17.7999;10.6733
58;26.2214;0.000128;14.8854;10.4691
59;28.7981;9.60E-05;15.0313;12.7007
60;27.1818;0.000128;16.3611;10.0363
61;25.9303;0.000128;15.1308;9.78826
62;26.0245;0.000128;15.3333;9.96096
63;25.9917;9.60E-05;15.4408;9.66762
64;27.5012;9.60E-05;16.308;10.1525
65;28.1054;0.000128;17.5154;9.47734
66;29.3188;0.000128;17.1078;11.0842
67;25.696;9.60E-05;15.1023;9.66061
68;30.1164;0.000128;19.3406;9.65891
69;26.1167;0.000128;17.5389;7.50458
70;23.1438;9.60E-05;17.2284;4.93178
71;19.0768;0.000128;14.9984;3.35776
72;18.9483;9.60E-05;15.2234;2.58138
73;18.9606;9.60E-05;14.9675;2.68042
74;20.2712;0.000128;16.4665;2.84333
75;19.0177;0.000128;15.7024;2.44435
76;19.3254;0.000128;15.3024;3.25603
77;18.502;0.000128;14.6906;2.45942
78;18.9724;9.60E-05;15.1143;2.47286
79;18.59;9.60E-05;15.0207;2.4895
80;18.5669;0.000128;14.4583;2.79213
81;18.0572;0.000128;14.6502;2.46531
82;18.5524;9.60E-05;14.928;2.51936
83;19.4762;9.60E-05;15.6867;2.91398
84;19.9868;0.000128;16.0851;2.52611
85;18.5646;0.000128;15.2873;2.4457
86;18.3232;0.000128;14.7328;2.45149
87;18.1194;9.60E-05;14.6686;2.47901
88;18.5158;0.000128;14.8225;2.55933
89;19.2263;0.000128;14.9965;3.39565
90;21.7044;0.000128;14.6204;5.81197
91;24.1529;9.60E-05;14.8865;8.23523
92;27.0174;0.000128;14.9427;10.7629
93;29.5164;0.000128;15.8046;12.508
94;28.6634;0.000128;14.7843;13.1722
95;29.0155;0.000128;14.6401;13.19
96;28.7416;0.000128;14.9522;12.8793
97;29.1303;9.60E-05;14.6567;13.1084
98;29.2791;0.000128;14.3663;13.1488
99;30.8193;9.60E-05;15.5839;14.1463
100;28.5912;0.000128;14.5416;13.1735
101;28.5209;0.000128;14.7075;12.929
102;29.3326;0.000128;14.8013;13.3257
103;29.0491;0.000128;14.903;12.7192
104;27.855;0.000128;14.5706;11.978
105;29.218;0.000128;14.7828;13.1948
106;29.3787;0.000128;16.1958;11.7503
107;27.626;0.000128;14.6196;11.7374
108;28.2747;0.000128;15.5188;11.3663
109;27.3983;9.60E-05;14.7535;11.7094
110;27.0406;0.000128;14.771;11.1234
111;27.6826;0.000128;14.7753;11.3873
112;30.0878;0.000128;15.605;13.0278
113;29.9653;0.000128;17.4836;11.2545
114;26.7665;0.000128;14.5966;11.213
115;27.8582;0.000128;14.8145;11.378
116;27.4098;9.60E-05;14.6549;11.6959
117;27.7036;0.000128;14.9514;11.3149
118;27.7776;0.000128;14.9186;11.5018
119;29.9781;0.000128;17.5458;11.478
120;27.3831;0.000128;14.5382;11.5253
121;28.9956;0.000128;15.4787;12.5277
122;27.3206;0.000128;14.6921;11.3186
123;27.4228;0.000128;14.7414;11.1312
124;26.629;0.000128;14.654;11.075
125;27.2494;0.000128;15.0248;11.1807
126;31.0452;0.000128;15.7404;14.041
127;28.2661;0.000128;15.0581;11.6602
