Frame;ms on GPU;ConstantBuffersTime;SceneDepthPrePass;SceneShadows;
1;26.0864;0.003552;15.7397;4.04128;
2;20.2853;6.4e-05;13.1895;5.3767;
3;21.3348;6.4e-05;13.1711;5.64138;
4;18.5276;3.2e-05;13.4132;3.82749;
5;6.91664;0.000192;4.91405;1.32266;
6;6.53709;0.000192;4.57677;1.2175;
7;6.56106;0.000224;4.54336;1.31571;
8;6.48998;0.000192;4.46672;1.3831;
9;6.51968;0.000192;4.60762;1.22234;
10;6.51968;0.000224;4.6127;1.27446;
11;6.5672;0.000192;4.61104;1.27994;
12;6.46083;0.000192;4.58522;1.23117;
13;6.63043;0.000192;4.604;1.27229;
14;6.88109;0.000192;4.64413;1.28138;
15;6.5208;0.000192;4.50314;1.36934;
16;6.52778;0.000192;4.61741;1.24867;
17;6.61898;0.000192;4.64733;1.29491;
18;6.44925;0.000192;4.59114;1.21814;
19;6.52224;0.000224;4.61712;1.2833;
20;6.6313;0.000224;4.63088;1.30291;
21;6.56502;0.000224;4.61037;1.29674;
22;6.60464;0.000192;4.60659;1.29846;
23;6.48499;0.000192;4.4687;1.23242;
24;6.5313;0.000224;4.57453;1.29126;
25;6.55962;0.000224;4.58995;1.3024;
26;6.58061;0.000224;4.61174;1.25882;
27;6.54707;0.000192;4.58432;1.29034;
28;6.47907;0.000192;4.5623;1.26605;
29;6.45571;0.000192;4.53661;1.28272;
30;6.43667;0.000224;4.5544;1.22976;
31;6.39546;0.000192;4.51338;1.22685;
32;6.45696;0.000192;4.52346;1.29466;
33;6.52339;0.000192;4.64432;1.2399;
34;6.45936;0.000192;4.56374;1.26672;
35;6.55024;0.000224;4.56723;1.26973;
36;6.48736;0.000192;4.5448;1.21466;
37;6.41197;0.000192;4.55283;1.21066;
38;6.4409;0.000224;4.52762;1.24512;
39;6.45398;0.000192;4.55706;1.21741;
40;6.32029;0.000192;4.46704;1.2159;
41;6.58896;0.000192;4.56544;1.29565;
42;6.55366;0.000192;4.55066;1.28323;
43;6.56746;0.000224;4.56346;1.30112;
44;6.57741;0.000192;4.56083;1.29862;
45;6.49878;0.000224;4.56022;1.23677;
46;6.64208;0.000192;4.55338;1.38208;
47;6.42163;0.000192;4.56198;1.20714;
48;6.48406;0.00016;4.57482;1.22938;
49;6.49402;0.000224;4.592;1.20486;
50;6.42899;0.000192;4.55808;1.19114;
51;6.47011;0.000224;4.52064;1.26544;
52;6.35293;0.000224;4.5039;1.19152;
53;6.51027;0.000192;4.4751;1.32506;
54;6.53546;0.000192;4.52358;1.34051;
55;6.62189;0.000192;4.56365;1.33677;
56;6.5617;0.000192;4.53699;1.3472;
57;6.5663;0.000224;4.5303;1.31962;
58;6.5456;0.000224;4.54349;1.32829;
59;6.5847;0.000224;4.55606;1.32208;
60;6.57642;0.000192;4.58387;1.32352;
61;6.47187;0.000192;4.49142;1.33597;
62;6.45789;0.000192;4.51568;1.26595;
63;6.76518;0.000224;4.46045;1.28406;
64;6.55094;0.000224;4.52643;1.35344;
65;6.57712;0.000192;4.55258;1.344;
66;6.57322;0.000192;4.55437;1.33939;
67;6.55549;0.000192;4.42662;1.31136;
68;6.52362;0.000192;4.56835;1.29981;
69;6.64195;0.000192;4.56458;1.37757;
70;6.58275;0.000192;4.42278;1.45334;
71;6.60336;0.000192;4.51795;1.36384;
72;6.61395;0.000192;4.54541;1.3512;
73;6.55638;0.000192;4.54147;1.32723;
74;6.56067;0.000224;4.56883;1.33251;
75;6.54938;0.000224;4.52243;1.31014;
76;6.38723;0.000192;4.48019;1.28381;
77;6.5233;0.000192;4.49738;1.31194;
78;6.50701;0.000192;4.5048;1.32464;
79;6.5215;0.000192;4.4567;1.32045;
80;6.61171;0.000192;4.52662;1.39722;
81;6.65731;0.000224;4.51664;1.42912;
82;6.72486;0.000192;4.56275;1.44941;
83;6.68637;0.000192;4.57898;1.40445;
84;6.63139;0.000224;4.49354;1.47027;
85;6.72029;0.000192;4.57459;1.48688;
86;6.64138;0.000192;4.53024;1.4543;
87;6.64624;0.000192;4.52458;1.48298;
88;6.85968;0.000192;4.62653;1.5071;
89;6.84387;0.000192;4.62432;1.54547;
90;6.78026;0.000192;4.53021;1.54563;
91;6.61123;0.000224;4.50237;1.48746;
92;6.98474;0.000192;4.476;1.4367;
93;6.6895;0.000192;4.55882;1.44416;
94;6.57437;0.000192;4.51814;1.41808;
95;9.16845;0.000192;4.5017;1.50688;
96;6.63459;0.000192;4.57389;1.40906;
97;6.71862;0.000192;4.55933;1.4431;
98;6.69507;0.000224;4.53232;1.42675;
99;6.68723;0.000224;4.53101;1.41523;
100;6.62461;0.000192;4.51974;1.42902;
101;6.59914;0.000224;4.50771;1.42502;
102;6.5672;0.000192;4.51907;1.38115;
103;6.47638;0.000192;4.4943;1.36461;
104;6.45133;0.000224;4.47795;1.35626;
105;6.71949;0.000192;4.53344;1.42845;
106;6.69072;0.000192;4.53427;1.45366;
107;6.68461;0.000192;4.57734;1.44282;
108;6.61955;0.000192;4.55782;1.39418;
109;6.68384;0.000192;4.5839;1.4024;
110;6.52192;0.000192;4.50512;1.36077;
111;6.62339;0.000192;4.57987;1.4015;
112;6.64013;0.000192;4.53357;1.43562;
113;6.73997;0.000224;4.53792;1.38413;
114;6.71267;0.000224;4.57526;1.43411;
115;6.60339;0.000224;4.54826;1.39648;
116;6.63376;0.000192;4.54186;1.42381;
117;6.51523;0.000192;4.48592;1.3313;
